ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT
99591,Sepsis,Sepsis,9
99662,React-oth vasc dev/graft,"Infection and inflammatory reaction due to other vascular device, implant, and graft",1
40391,Hyp kid NOS w cr kid V,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",6
42731,Atrial fibrillation,Atrial fibrillation,43
4280,CHF NOS,"Congestive heart failure, unspecified",34
4241,Aortic valve disorder,Aortic valve disorders,5
4240,Mitral valve disorder,Mitral valve disorders,10
03819,Staphylcocc septicem NEC,Other staphylococcal septicemia,1
7850,Tachycardia NOS,"Tachycardia, unspecified",2
E8791,Abn react-renal dialysis,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",1
V090,Inf mcrg rstn pncllins,Infection with microorganisms resistant to penicillins,3
56211,Dvrtcli colon w/o hmrhg,Diverticulitis of colon (without mention of hemorrhage),2
28529,Anemia-other chronic dis,Anemia of other chronic disease,4
25000,DMII wo cmp nt st uncntr,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",28
V5867,Long-term use of insulin,Long-term (current) use of insulin,8
E9342,Adv eff anticoagulants,Anticoagulants causing adverse effects in therapeutic use,2
41401,Crnry athrscl natve vssl,Coronary atherosclerosis of native coronary artery,16
2749,Gout NOS,"Gout, unspecified",4
3051,Tobacco use disorder,Tobacco use disorder,4
2875,Thrombocytopenia NOS,"Thrombocytopenia, unspecified",9
4019,Hypertension NOS,Unspecified essential hypertension,48
2948,Mental disor NEC oth dis,Other persistent mental disorders due to conditions classified elsewhere,9
79092,Abnrml coagultion prfile,Abnormal coagulation profile,4
0380,Streptococcal septicemia,Streptococcal septicemia,2
42830,Diastolc hrt failure NOS,"Diastolic heart failure, unspecified",2
5849,Acute kidney failure NOS,"Acute kidney failure, unspecified",37
99667,React-oth int ortho dev,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft",1
71105,Pyogen arthritis-pelvis,"Pyogenic arthritis, pelvic region and thigh",1
2763,Alkalosis,Alkalosis,4
99677,Comp-internal joint pros,Other complications due to internal joint prosthesis,1
7837,Failure to thrive-adult,Adult failure to thrive,1
45981,Venous insufficiency NOS,"Venous (peripheral) insufficiency, unspecified",4
E8781,Abn react-artif implant,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",2
E8498,Accident in place NEC,Accidents occurring in other specified places,1
73300,Osteoporosis NOS,"Osteoporosis, unspecified",4
04102,Streptococcus group b,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",1
0389,Septicemia NOS,Unspecified septicemia,22
5990,Urin tract infection NOS,"Urinary tract infection, site not specified",22
78552,Septic shock,Septic shock,15
4439,Periph vascular dis NOS,"Peripheral vascular disease, unspecified",10
V4582,Status-post ptca,Percutaneous transluminal coronary angioplasty status,4
3320,Paralysis agitans,Paralysis agitans,4
29041,Vasc dementia w delirium,"Vascular dementia, with delirium",1
4370,Cerebral atherosclerosis,Cerebral atherosclerosis,2
V441,Gastrostomy status,Gastrostomy status,2
41400,Cor ath unsp vsl ntv/gft,"Coronary atherosclerosis of unspecified type of vessel, native or graft",6
V4581,Aortocoronary bypass,Aortocoronary bypass status,8
V1079,Hx-lymphatic malign NEC,Personal history of other lymphatic and hematopoietic neoplasms,1
V1201,Prsnl hst tuberculosis,Personal history of tuberculosis,3
41071,"Subendo infarct, initial","Subendocardial infarction, initial episode of care",9
1983,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord,4
V1042,Hx-uterus malignancy NEC,Personal history of malignant neoplasm of other parts of uterus,2
5121,Iatrogenic pneumothorax,Iatrogenic pneumothorax,2
1124,Candidiasis of lung,Candidiasis of lung,1
41519,Pulm embol/infarct NEC,Other pulmonary embolism and infarction,3
1622,Malig neo main bronchus,Malignant neoplasm of main bronchus,1
496,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified",10
5750,Acute cholecystitis,Acute cholecystitis,3
5601,Paralytic ileus,Paralytic ileus,2
34590,Epilep NOS w/o intr epil,"Epilepsy, unspecified, without mention of intractable epilepsy",2
33385,Subac dyskinesa d/t drug,Subacute dyskinesia due to drugs,1
E9479,Adv eff medicinal NOS,Unspecified drug or medicinal substance causing adverse effects in therapeutic use,1
29570,Schizoaffective dis NOS,"Schizoaffective disorder, unspecified",1
2724,Hyperlipidemia NEC/NOS,Other and unspecified hyperlipidemia,26
6826,Cellulitis of leg,"Cellulitis and abscess of leg, except foot",2
42781,Sinoatrial node dysfunct,Sinoatrial node dysfunction,3
40390,Hy kid NOS w cr kid I-IV,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",9
42822,Chr systolic hrt failure,Chronic systolic heart failure,2
2768,Hypopotassemia,Hypopotassemia,6
0388,Septicemia NEC,Other specified septicemias,1
5854,Chr kidney dis stage IV,"Chronic kidney disease, Stage IV (severe)",1
53551,Gstr/ddnts NOS w hmrhg,"Unspecified gastritis and gastroduodenitis, with hemorrhage",1
70714,Ulcer of heel & midfoot,Ulcer of heel and midfoot,1
25002,DMII wo cmp uncntrld,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",2
2760,Hyperosmolality,Hyperosmolality and/or hypernatremia,15
3569,Idio periph neurpthy NOS,Unspecified hereditary and idiopathic peripheral neuropathy,2
5070,Food/vomit pneumonitis,Pneumonitis due to inhalation of food or vomitus,16
311,Depressive disorder NEC,"Depressive disorder, not elsewhere classified",15
2449,Hypothyroidism NOS,Unspecified acquired hypothyroidism,20
V1582,History of tobacco use,Personal history of tobacco use,5
V5861,Long-term use anticoagul,Long-term (current) use of anticoagulants,17
70703,"Pressure ulcer, low back","Pressure ulcer, lower back",13
V440,Tracheostomy status,Tracheostomy status,9
3441,Paraplegia NOS,Paraplegia,2
43853,Lt ef oth parals-bilat,"Late effects of cerebrovascular disease, other paralytic syndrome, bilateral",3
70723,"Pressure ulcer,stage III","Pressure ulcer, stage III",3
7810,Abn involun movement NEC,Abnormal involuntary movements,1
V444,Enterostomy status NEC,Status of other artificial opening of gastrointestinal tract,1
V442,Ileostomy status,Ileostomy status,3
2859,Anemia NOS,"Anemia, unspecified",23
70720,"Pressure ulcer,stage NOS","Pressure ulcer, unspecified stage",4
25060,DMII neuro nt st uncntrl,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",11
3572,Neuropathy in diabetes,Polyneuropathy in diabetes,12
43819,Late ef-spch/lang df NEC,"Late effects of cerebrovascular disease, other speech and language deficits",2
99664,React-indwell urin cath,Infection and inflammatory reaction due to indwelling urinary catheter,2
03840,Gram-neg septicemia NOS,"Septicemia due to gram-negative organism, unspecified",1
70722,"Pressure ulcer, stage II","Pressure ulcer, stage II",4
V1254,Hx TIA/stroke w/o resid,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",2
48283,Pneumo oth grm-neg bact,Pneumonia due to other gram-negative bacteria,2
53649,Gastrostomy comp NEC,Other gastrostomy complications,2
0416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,1
E8796,Abn react-urinary cath,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",2
99592,Severe sepsis,Severe sepsis,22
99673,Comp-ren dialys dev/grft,"Other complications due to renal dialysis device, implant, and graft",1
5761,Cholangitis,Cholangitis,2
57451,Choledochlith NOS w obst,"Calculus of bile duct without mention of cholecystitis, with obstruction",1
5856,End stage renal disease,End stage renal disease,4
51882,Other pulmonary insuff,"Other pulmonary insufficiency, not elsewhere classified",2
5119,Pleural effusion NOS,Unspecified pleural effusion,9
99659,Malfunc oth device/graft,"Mechanical complication due to other implant and internal device, not elsewhere classified",2
7211,Cerv spondyl w myelopath,Cervical spondylosis with myelopathy,1
V1588,Personal history of fall,History of fall,1
2380,Unc behav neo bone,Neoplasm of uncertain behavior of bone and articular cartilage,1
2930,Delirium d/t other cond,Delirium due to conditions classified elsewhere,7
V4502,Status autm crd dfbrltr,Automatic implantable cardiac defibrillator in situ,1
V1046,Hx-prostatic malignancy,Personal history of malignant neoplasm of prostate,1
486,"Pneumonia, organism NOS","Pneumonia, organism unspecified",21
58881,Sec hyperparathyrd-renal,Secondary hyperparathyroidism (of renal origin),1
78009,Other alter consciousnes,Other alteration of consciousness,2
V4511,Renal dialysis status,Renal dialysis status,1
71946,Joint pain-l/leg,"Pain in joint, lower leg",1
V0254,Meth resis Staph carrier,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus,3
2761,Hyposmolality,Hyposmolality and/or hyponatremia,15
1985,Secondary malig neo bone,Secondary malignant neoplasm of bone and bone marrow,6
1977,Second malig neo liver,"Malignant neoplasm of liver, secondary",8
1970,Secondary malig neo lung,Secondary malignant neoplasm of lung,8
2800,Chr blood loss anemia,Iron deficiency anemia secondary to blood loss (chronic),5
V1251,Hx-ven thrombosis/embols,Personal history of venous thrombosis and embolism,6
56400,Constipation NOS,"Constipation, unspecified",2
45340,Ac DVT/embl low ext NOS,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,3
1508,Mal neo esophagus NEC,Malignant neoplasm of other specified part of esophagus,2
53082,Esophageal hemorrhage,Esophageal hemorrhage,1
V420,Kidney transplant status,Kidney replaced by transplant,2
5789,Gastrointest hemorr NOS,"Hemorrhage of gastrointestinal tract, unspecified",5
32723,Obstructive sleep apnea,Obstructive sleep apnea (adult)(pediatric),4
71940,Joint pain-unspec,"Pain in joint, site unspecified",1
53190,Stomach ulcer NOS,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",1
570,Acute necrosis of liver,Acute and subacute necrosis of liver,5
51881,Acute respiratry failure,Acute respiratory failure,25
5845,"Ac kidny fail, tubr necr",Acute kidney failure with lesion of tubular necrosis,4
5722,Hepatic encephalopathy,Hepatic encephalopathy,4
5711,Ac alcoholic hepatitis,Acute alcoholic hepatitis,2
452,Portal vein thrombosis,Portal vein thrombosis,3
3481,Anoxic brain damage,Anoxic brain damage,3
03811,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia,1
5712,Alcohol cirrhosis liver,Alcoholic cirrhosis of liver,4
48241,Meth sus pneum d/t Staph,Methicillin susceptible pneumonia due to Staphylococcus aureus,2
78959,Ascites NEC,Other ascites,2
28731,Immune thrombocyt purpra,Immune thrombocytopenic purpura,1
5566,Univrsl ulcertve colitis,Universal ulcerative (chronic) colitis,1
5855,Chron kidney dis stage V,"Chronic kidney disease, Stage V",1
2839,Acq hemolytic anemia NOS,"Acquired hemolytic anemia, unspecified",1
78551,Cardiogenic shock,Cardiogenic shock,4
20280,Oth lymp unsp xtrndl org,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",3
3970,Tricuspid valve disease,Diseases of tricuspid valve,5
4266,Other heart block,Other heart block,1
5859,Chronic kidney dis NOS,"Chronic kidney disease, unspecified",9
5691,Rectal prolapse,Rectal prolapse,1
24220,Tox multnod goit no cris,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,1
51919,Trachea & bronch dis NEC,Other diseases of trachea and bronchus,3
2767,Hyperpotassemia,Hyperpotassemia,3
E8889,Fall NOS,Unspecified fall,3
2720,Pure hypercholesterolem,Pure hypercholesterolemia,4
43811,Late eff CV dis-aphasia,"Late effects of cerebrovascular disease, aphasia",2
53390,Peptic ulcer NOS,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",3
9971,Surg compl-heart,"Cardiac complications, not elsewhere classified",3
4271,Parox ventric tachycard,Paroxysmal ventricular tachycardia,3
4160,Prim pulm hypertension,Primary pulmonary hypertension,3
5939,Renal & ureteral dis NOS,Unspecified disorder of kidney and ureter,2
28522,Anemia in neoplastic dis,Anemia in neoplastic disease,2
80125,Cl skl base fx-deep coma,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",1
8602,Traum hemothorax-closed,Traumatic hemothorax without mention of open wound into thorax,1
E8348,W/crft fall NEC-pers NEC,Other fall from one level to another in water transport injuring other specified person,1
2851,Ac posthemorrhag anemia,Acute posthemorrhagic anemia,9
56985,Angio intes w hmrhg,Angiodysplasia of intestine with hemorrhage,1
39891,Rheumatic heart failure,Rheumatic heart failure (congestive),2
3962,Mitral insuf/aort stenos,Mitral valve insufficiency and aortic valve stenosis,2
42789,Cardiac dysrhythmias NEC,Other specified cardiac dysrhythmias,4
78057,Sleep apnea NOS,Unspecified sleep apnea,1
5770,Acute pancreatitis,Acute pancreatitis,3
7907,Bacteremia,Bacteremia,4
5754,Perforation gallbladder,Perforation of gallbladder,1
34982,Toxic encephalopathy,Toxic encephalopathy,1
412,Old myocardial infarct,Old myocardial infarction,3
53240,Chr duoden ulcer w hem,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",1
53140,Chr stomach ulc w hem,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",1
E8859,Fall from slipping NEC,"Fall from other slipping, tripping, or stumbling",3
E8788,Abn react-surg proc NEC,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",2
82021,Intertrochanteric fx-cl,Closed fracture of intertrochanteric section of neck of femur,1
